ID,Season,City,Date,Team 1,Team 2,Toss Winner,Toss decision,Result,dl_applied,Winner,win_by_runs,win_by_wickets,
1,3,Dubai,22-02-2018,Multan Sultan,Peshawar Zalmi,Multan Sultan,Field,normal,0,Multan Sultan,0,7,
2,3,Dubai,23-02-2018,Quetta Gladiators,Karachi Kings,Karachi Kings,Bat,normal,0,Karachi Kings,19,0,
3,3,Dubai,23-02-2018,Lahore Qalander,Multan Sultan,Lahore Qalander,Field,normal,0,Multan Sultan,43,0,
4,3,Dubai,24-02-2028,Peshawar Zalmi,Islamabad United,Islamabad United,Field,normal,0,Peshawar Zalmi,34,0,
5,3,Dubai,24-02-2018,Lahore Qalander,Quetta Gladiators,Quetta Gladiators,Field,normal,0,Quetta Gladiators,0,9,
6,3,Dubai,25-02-2018,Islamabad United,Multan Sultan,Islamabad United,Field,normal,0,Islamabad United,0,5,
7,3,Dubai,25-02-2018,Peshawar Zalmi,Karachi Kings,Peshawar Zalmi,Bat,normal,0,Karachi Kings,0,5,
8,3,Dubai,26-02-2018,Lahore Qalander,Karachi Kings,Karachi Kings,Bat,normal,0,Karachi Kings,27,0,
9,3,Sharjah,28-02-2028,Islamabad United,Quetta Gladiators,Quetta Gladiators,Field,normal,0,Quetta Gladiators,0,6,
10,3,Sharjah,1/3/2018,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,Field,normal,0,Peshawar Zalmi,0,5,
11,3,Sharjah,2/3/2018,Karachi Kings,Multan Sultan,NA,NA,NA,0,NA,0,0,
12,3,Sharjah,2/3/2018,Islamabad United,Lahore Qalander,Lahore Qalander,Field,normal,0,Islamabad United,4,0,
13,3,Sharjah,3/3/2018,Quetta Gladiators,Multan Sultan,Multan Sultan,Field,normal,0,Multan Sultan,0,9,
14,3,Sharjah,3/3/2018,Lahore Qalander,Peshawar Zalmi,Lahore Qalander,Bat,normal,0,Peshawar Zalmi,0,10,
15,3,Sharjah,4/3/2018,Karachi Kings,Islamabad United,Islamabad United,Field,normal,0,Islamabad United,0,8,
16,3,Dubai,6/2/2018,Multan Sultan,Peshawar Zalmi,Peshawar Zalmi,Field,normal,0,Multan Sultan,19,0,
17,3,Dubai,7/3/2018,Multan Sultan,Quetta Gladiators,Quetta Gladiators,Field,normal,0,Quetta Gladiators,0,2,
18,3,Dubai,8/3/2018,Lahore Qalander,Islamabad United,Islamabad United,Field,normal,0,Islamabad United,0,6,
19,3,Dubai,8/3/2018,Quetta Gladiators,Karachi Kings,Karachi Kings,Field,normal,0,Quetta Gladiators,67,0,
20,3,Dubai,9/3/2018,Lahore Qalander,Multan Sultan,Multan Sultan,Bat,normal,0,Lahore Qalander,0,6,
21,3,Dubai,9/3/2018,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,Field,normal,0,Islamabad United,26,0,
22,3,Dubai,10/3/2018,Karachi Kings,Multan Sultan,Multan Sultan,Field,normal,0,Karachi Kings,63,0,
23,3,Dubai,10/3/2018,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,Field,normal,0,Quetta Gladiators,0,6,
24,3,Dubai,11/3/2018,Lahore Qalander,Karachi Kings,Lahore Qalander,Field,normal,0,Lahore Qalander,0,1,
25,3,Sharjah,13-03-2018,Islamabad United,Multan Sultan,Multan Sultan,Field,normal,0,Islamabad United,33,0,
26,3,Sharjah,14-03-2018,Lahore Qalander,Quetta Gladiators,Quetta Gladiators,Field,normal,0,Lahore Qalander,17,0,
27,3,Sharjah,15-03-2018,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,Bat,normal,0,Peshawar Zalmi,44,0,
